id_a,id_b,label
1,2,1
1,3,1
1,4,1
2,3,1
2,4,1
3,4,1
5,6,1
5,7,1
5,8,1
6,7,1
6,8,1
7,8,1
9,10,1
9,11,1
9,12,1
10,11,1
10,12,1
11,12,1
13,14,1
13,15,1
13,16,1
14,15,1
14,16,1
15,16,1
17,18,1
17,19,1
17,20,1
18,19,1
18,20,1
19,20,1
21,22,1
21,23,1
21,24,1
22,23,1
22,24,1
23,24,1
25,26,1
25,27,1
25,28,1
26,27,1
26,28,1
27,28,1
29,30,1
29,31,1
29,32,1
30,31,1
30,32,1
31,32,1
33,34,1
33,35,1
33,36,1
34,35,1
34,36,1
35,36,1
37,38,1
37,39,1
37,40,1
38,39,1
38,40,1
39,40,1
41,42,1
41,43,1
41,44,1
42,43,1
42,44,1
43,44,1
45,46,1
45,47,1
45,48,1
46,47,1
46,48,1
47,48,1
49,50,1
49,51,1
49,52,1
50,51,1
50,52,1
51,52,1
53,54,1
53,55,1
53,56,1
54,55,1
54,56,1
55,56,1
57,58,1
57,59,1
57,60,1
58,59,1
58,60,1
59,60,1
61,62,1
61,63,1
61,64,1
62,63,1
62,64,1
63,64,1
65,66,1
65,67,1
65,68,1
66,67,1
66,68,1
67,68,1
69,70,1
69,71,1
69,72,1
70,71,1
70,72,1
71,72,1
73,74,1
73,75,1
73,76,1
74,75,1
74,76,1
75,76,1
77,78,1
77,79,1
77,80,1
78,79,1
78,80,1
79,80,1
81,82,1
81,83,1
81,84,1
82,83,1
82,84,1
83,84,1
85,86,1
85,87,1
85,88,1
86,87,1
86,88,1
87,88,1
89,90,1
89,91,1
89,92,1
90,91,1
90,92,1
91,92,1
93,94,1
93,95,1
93,96,1
94,95,1
94,96,1
95,96,1
97,98,1
97,99,1
97,100,1
98,99,1
98,100,1
99,100,1
101,102,1
101,103,1
101,104,1
102,103,1
102,104,1
103,104,1
105,106,1
105,107,1
105,108,1
106,107,1
106,108,1
107,108,1
109,110,1
109,111,1
109,112,1
110,111,1
110,112,1
111,112,1
113,114,1
113,115,1
113,116,1
114,115,1
114,116,1
115,116,1
117,118,1
117,119,1
117,120,1
118,119,1
118,120,1
119,120,1
121,122,1
121,123,1
121,124,1
122,123,1
122,124,1
123,124,1
125,126,1
125,127,1
125,128,1
126,127,1
126,128,1
127,128,1
129,130,1
129,131,1
129,132,1
130,131,1
130,132,1
131,132,1
133,134,1
133,135,1
133,136,1
134,135,1
134,136,1
135,136,1
137,138,1
137,139,1
137,140,1
138,139,1
138,140,1
139,140,1
141,142,1
141,143,1
141,144,1
142,143,1
142,144,1
143,144,1
145,146,1
145,147,1
145,148,1
146,147,1
146,148,1
147,148,1
149,150,1
149,151,1
149,152,1
150,151,1
150,152,1
151,152,1
153,154,1
153,155,1
153,156,1
154,155,1
154,156,1
155,156,1
157,158,1
157,159,1
157,160,1
158,159,1
158,160,1
159,160,1
161,162,1
161,163,1
161,164,1
162,163,1
162,164,1
163,164,1
165,166,1
165,167,1
165,168,1
166,167,1
166,168,1
167,168,1
169,170,1
169,171,1
169,172,1
170,171,1
170,172,1
171,172,1
173,174,1
173,175,1
173,176,1
174,175,1
174,176,1
175,176,1
177,178,1
177,179,1
177,180,1
178,179,1
178,180,1
179,180,1
181,182,1
181,183,1
181,184,1
182,183,1
182,184,1
183,184,1
185,186,1
185,187,1
185,188,1
186,187,1
186,188,1
187,188,1
189,190,1
189,191,1
189,192,1
190,191,1
190,192,1
191,192,1
193,194,1
193,195,1
193,196,1
194,195,1
194,196,1
195,196,1
197,198,1
197,199,1
197,200,1
198,199,1
198,200,1
199,200,1
201,202,1
201,203,1
201,204,1
202,203,1
202,204,1
203,204,1
205,206,1
205,207,1
205,208,1
206,207,1
206,208,1
207,208,1
209,210,1
209,211,1
209,212,1
210,211,1
210,212,1
211,212,1
213,214,1
213,215,1
213,216,1
214,215,1
214,216,1
215,216,1
217,218,1
217,219,1
217,220,1
218,219,1
218,220,1
219,220,1
221,222,1
221,223,1
221,224,1
222,223,1
222,224,1
223,224,1
225,226,1
225,227,1
225,228,1
226,227,1
226,228,1
227,228,1
229,230,1
229,231,1
229,232,1
230,231,1
230,232,1
231,232,1
233,234,1
233,235,1
233,236,1
234,235,1
234,236,1
235,236,1
237,238,1
237,239,1
237,240,1
238,239,1
238,240,1
239,240,1
241,242,1
243,244,1
245,246,1
247,248,1
249,250,1
251,252,1
253,254,1
255,256,1
257,258,1
259,260,1
261,262,1
263,264,1
265,266,1
267,268,1
269,270,1
271,272,1
273,274,1
275,276,1
277,278,1
279,280,1
281,282,1
283,284,1
285,286,1
287,288,1
289,290,1
291,292,1
293,294,1
295,296,1
297,298,1
299,300,1
301,302,1
303,304,1
305,306,1
307,308,1
309,310,1
311,312,1
313,314,1
315,316,1
317,318,1
319,320,1
321,322,1
323,324,1
200,201,0
200,202,0
201,202,0
1762,2838,0
1619,1965,0
6,1658,0
1203,1644,0
671,2067,0
1249,1371,0
799,1820,0
553,2890,0
269,2355,0
53,1322,0
529,1458,0
1900,2385,0
624,906,0
1571,2102,0
536,1778,0
1270,1371,0
1600,1813,0
191,1932,0
123,1732,0
845,2018,0
492,2887,0
281,2911,0
68,281,0
1691,1991,0
59,1795,0
1711,2898,0
829,1093,0
1351,2809,0
1988,2465,0
39,582,0
1186,2019,0
105,1912,0
272,2345,0
1163,2565,0
428,2358,0
7,2589,0
1276,2844,0
140,2805,0
1026,1796,0
1500,2618,0
1036,1713,0
936,2878,0
1004,2794,0
1173,1860,0
373,2374,0
955,2382,0
1008,1131,0
376,724,0
282,2328,0
906,1874,0
235,1610,0
874,917,0
2540,2616,0
778,2708,0
326,788,0
1842,1874,0
1782,2242,0
274,1569,0
1829,2089,0
654,2293,0
1627,2382,0
655,2384,0
1629,2248,0
46,1585,0
1146,2208,0
50,1932,0
395,2284,0
1155,1477,0
1618,1652,0
2062,2911,0
757,1694,0
255,719,0
1510,1656,0
590,1077,0
610,1125,0
2330,2826,0
165,1651,0
821,1278,0
130,2297,0
691,2988,0
720,1085,0
1616,1760,0
2501,2841,0
260,594,0
641,2560,0
1808,2421,0
395,2282,0
2872,2899,0
46,2395,0
2316,2400,0
2598,2878,0
412,1963,0
1782,2024,0
1421,2300,0
1150,1576,0
1103,1433,0
1461,2865,0
1594,2278,0
412,1868,0
802,1066,0
10,2088,0
81,1835,0
1286,1289,0
1874,2660,0
2121,2430,0
530,1722,0
2206,2603,0
1752,1778,0
1292,2705,0
194,2183,0
498,1986,0
874,1184,0
2100,2884,0
174,2348,0
584,1823,0
575,1353,0
794,2642,0
2344,2637,0
410,2229,0
886,1484,0
364,897,0
279,1703,0
286,2217,0
926,1692,0
1945,2919,0
1695,2217,0
891,1000,0
251,2102,0
1920,2587,0
2207,2841,0
572,1297,0
2160,2705,0
113,883,0
2244,2413,0
1669,2050,0
2092,2479,0
1318,2943,0
220,2504,0
1403,2077,0
911,1645,0
1550,1697,0
53,2203,0
2027,2493,0
1772,2204,0
848,2920,0
1187,1586,0
297,2438,0
342,375,0
1186,2127,0
1970,2566,0
719,1882,0
677,734,0
1862,2815,0
45,368,0
1176,2721,0
502,2633,0
833,958,0
89,2588,0
41,637,0
2325,2326,0
693,785,0
1200,1929,0
1213,1772,0
2152,2778,0
812,1822,0
4,1902,0
764,1900,0
133,2684,0
1893,2196,0
685,2072,0
512,1853,0
2253,2354,0
2430,2599,0
941,1984,0
505,1614,0
544,2252,0
850,2799,0
1524,1683,0
1735,2208,0
1925,2850,0
685,2412,0
378,1429,0
404,486,0
1340,2811,0
62,736,0
335,2793,0
1125,2042,0
1099,1233,0
1723,1813,0
2280,2667,0
737,2276,0
1038,1823,0
728,1943,0
360,1152,0
2378,2811,0
2102,2453,0
1449,2229,0
502,992,0
1036,1493,0
810,2485,0
1367,2049,0
1230,2224,0
1782,2370,0
1382,2192,0
677,2033,0
2741,2915,0
764,1988,0
479,1149,0
2119,2566,0
442,758,0
53,730,0
2083,2343,0
434,449,0
2360,2541,0
416,1462,0
363,2197,0
1459,1688,0
922,1257,0
1150,2375,0
276,1793,0
1142,2064,0
317,434,0
1970,2342,0
414,2476,0
1677,2334,0
1831,2800,0
2367,2461,0
378,389,0
320,1348,0
383,2793,0
1521,2762,0
354,615,0
311,2007,0
845,954,0
1040,1127,0
577,2258,0
149,778,0
1605,2686,0
1822,2541,0
631,2385,0
236,1942,0
1322,1372,0
598,984,0
598,2510,0
203,1712,0
1138,1767,0
248,1746,0
575,2804,0
307,2406,0
971,1342,0
152,480,0
2423,2970,0
627,2223,0
932,2584,0
838,1591,0
561,772,0
45,1125,0
251,788,0
1306,1664,0
2574,2775,0
1643,2481,0
1422,1830,0
2401,2643,0
767,1517,0
2246,2334,0
650,2151,0
2567,2727,0
1442,1817,0
1086,1568,0
1025,2188,0
892,1998,0
836,2629,0
227,1908,0
2290,2481,0
717,783,0
1773,2387,0
315,2330,0
806,1049,0
2168,2257,0
185,1368,0
2102,2472,0
1903,2961,0
792,2419,0
650,2716,0
464,1655,0
1920,2219,0
205,2230,0
744,2031,0
373,2100,0
882,2962,0
1860,1981,0
975,2224,0
1896,2732,0
777,2948,0
507,656,0
1903,2287,0
316,874,0
1778,1981,0
1398,2321,0
1272,2397,0
2238,2726,0
1027,1404,0
862,1892,0
327,504,0
929,2474,0
521,2898,0
426,1832,0
524,1926,0
212,872,0
1006,2858,0
4,1859,0
1582,2672,0
1204,1984,0
1318,2151,0
361,1730,0
862,2405,0
352,2347,0
2361,2548,0
1168,2467,0
689,732,0
557,1070,0
839,2331,0
636,1633,0
840,2276,0
434,1730,0
275,2284,0
675,2052,0
2570,2663,0
94,1839,0
1689,2888,0
2428,2576,0
120,1547,0
41,403,0
936,1878,0
1289,1432,0
458,2469,0
310,1699,0
556,1261,0
877,2834,0
167,1622,0
1301,1927,0
260,2178,0
948,1112,0
809,2032,0
430,1785,0
2191,2824,0
190,1475,0
1368,2845,0
326,1700,0
711,2425,0
2595,2596,0
796,2620,0
2067,2559,0
1610,1911,0
1881,1918,0
26,1477,0
530,581,0
2793,2939,0
1254,1949,0
955,2921,0
366,673,0
73,1649,0
1093,1755,0
1146,1739,0
1403,2752,0
1012,1901,0
88,1023,0
1659,2778,0
590,1367,0
1689,2262,0
2452,2571,0
344,2345,0
1090,2303,0
7,391,0
1929,2048,0
1164,1817,0
4,2053,0
394,2653,0
890,1930,0
1353,2093,0
409,2632,0
356,795,0
1378,2031,0
328,2330,0
546,2603,0
768,1563,0
820,1571,0
1578,1746,0
1485,2073,0
574,2484,0
953,1790,0
2877,2973,0
1186,1348,0
2319,2974,0
1830,2735,0
33,609,0
715,877,0
5,1783,0
593,1707,0
1340,1507,0
331,829,0
1285,2306,0
1364,1537,0
1180,2416,0
2807,2892,0
736,1680,0
149,1395,0
258,1928,0
1531,2991,0
113,918,0
654,1681,0
540,2272,0
1528,1583,0
2059,2684,0
525,2367,0
2265,2308,0
2188,2563,0
734,1017,0
2044,2563,0
1135,2493,0
1374,2655,0
1740,2227,0
343,2088,0
1707,2938,0
207,1824,0
71,1015,0
152,1731,0
1918,2550,0
930,2058,0
316,723,0
1031,1156,0
791,1453,0
697,1065,0
25,293,0
501,994,0
972,2271,0
198,630,0
2784,2903,0
1308,2651,0
648,1342,0
541,1074,0
1561,2757,0
1695,2368,0
2223,2320,0
436,2334,0
888,1300,0
900,2007,0
1004,1153,0
1896,2726,0
763,1396,0
879,2182,0
225,2341,0
2294,2786,0
696,2102,0
1752,2239,0
1973,2786,0
2420,2703,0
309,1716,0
169,2005,0
2539,2854,0
1520,1843,0
427,1215,0
1730,1756,0
1006,1259,0
2077,2712,0
76,2822,0
1328,2676,0
413,1671,0
2088,2306,0
1101,1844,0
1301,1483,0
482,1955,0
647,1271,0
1356,1432,0
1189,2795,0
1720,1856,0
610,1066,0
998,2843,0
841,1778,0
237,1636,0
105,553,0
1530,2845,0
1165,2559,0
1354,1442,0
1351,2203,0
970,1334,0
1167,2022,0
247,2736,0
2001,2882,0
370,2935,0
488,2784,0
202,2734,0
68,2408,0
326,2685,0
373,445,0
214,1025,0
81,1057,0
105,414,0
1953,2060,0
1225,1571,0
791,844,0
909,2171,0
1162,2764,0
345,2774,0
646,1942,0
1232,1264,0
1485,1897,0
1302,1628,0
409,692,0
76,1973,0
660,2156,0
1650,2260,0
2150,2204,0
155,940,0
486,2514,0
1951,2560,0
339,1032,0
850,1694,0
203,1349,0
423,1916,0
274,301,0
787,2145,0
409,955,0
1991,2583,0
477,1766,0
2208,2443,0
923,2615,0
710,1399,0
290,725,0
1207,1709,0
1419,2988,0
231,438,0
422,775,0
1137,2131,0
576,598,0
769,2947,0
2213,2699,0
712,2292,0
1961,2736,0
1417,2685,0
1318,1666,0
519,2519,0
2180,2978,0
1095,2259,0
824,1644,0
1475,2876,0
1996,2520,0
1946,2824,0
531,2427,0
588,1063,0
2011,2021,0
86,1446,0
1046,1070,0
1217,1802,0
188,412,0
2178,2502,0
1240,1942,0
1321,1388,0
897,1475,0
2437,2767,0
575,2526,0
1029,1219,0
1464,2805,0
2161,2606,0
771,1567,0
38,977,0
892,2938,0
2127,2253,0
96,2921,0
1687,2718,0
905,2394,0
661,2483,0
984,1969,0
94,662,0
2191,2477,0
945,2048,0
345,963,0
38,2209,0
2572,2635,0
1418,2736,0
458,1366,0
176,1393,0
886,1980,0
60,585,0
227,2574,0
1330,2415,0
291,2845,0
1904,2676,0
1620,1851,0
670,2948,0
570,886,0
1374,2884,0
25,2663,0
1138,1636,0
1249,1942,0
1343,2643,0
1081,2273,0
1043,2091,0
19,2651,0
1584,1774,0
9,2840,0
543,1543,0
1894,2794,0
1115,2552,0
189,1296,0
2091,2989,0
930,2825,0
934,1806,0
809,2467,0
586,1793,0
284,1844,0
710,816,0
1187,2795,0
400,2758,0
1157,1690,0
73,511,0
1183,1834,0
427,791,0
393,2755,0
1937,2797,0
2125,2446,0
769,1319,0
1241,2691,0
1958,2211,0
470,1852,0
968,2285,0
514,943,0
531,2795,0
822,1816,0
1279,1379,0
776,2102,0
1022,2329,0
644,683,0
1758,2576,0
1447,1752,0
26,1264,0
1040,1359,0
170,2027,0
380,2319,0
2130,2145,0
506,2814,0
678,2395,0
772,2933,0
434,2539,0
1021,2776,0
1058,1587,0
56,1908,0
628,823,0
1466,2544,0
1260,2332,0
322,2559,0
2291,2983,0
851,1156,0
1403,2090,0
74,113,0
1934,2062,0
138,897,0
1383,2517,0
867,2100,0
1512,2900,0
1367,2079,0
311,1546,0
425,1947,0
31,40,0
1501,2640,0
2045,2932,0
699,1326,0
792,2745,0
57,800,0
436,2522,0
2580,2821,0
1693,2253,0
294,565,0
54,1522,0
189,2747,0
214,1964,0
1209,1723,0
810,2652,0
1703,2258,0
709,1302,0
838,2034,0
1677,1742,0
2442,2579,0
1271,1668,0
351,850,0
2383,2512,0
63,1591,0
1003,1941,0
158,283,0
1952,2870,0
1071,2471,0
1076,1672,0
1844,2016,0
1657,1756,0
134,1059,0
1851,2202,0
1043,2502,0
1655,1715,0
1279,1471,0
1054,2266,0
994,2039,0
252,1010,0
1094,1249,0
2456,2478,0
692,1956,0
416,901,0
692,1815,0
1619,2165,0
630,2558,0
406,2958,0
817,2374,0
1145,2244,0
1259,1830,0
2210,2247,0
1380,1615,0
2085,2234,0
1898,1936,0
1848,2968,0
166,2742,0
1429,2026,0
586,1419,0
799,2228,0
2770,2850,0
596,2724,0
1590,2303,0
1278,2579,0
610,1961,0
2487,2773,0
1440,2162,0
1687,1880,0
1516,1532,0
312,1779,0
430,1133,0
2,193,0
1131,2570,0
413,2709,0
2092,2958,0
9,2119,0
1668,2830,0
722,1395,0
1324,2326,0
1535,1765,0
137,1059,0
222,1833,0
751,2076,0
1512,2840,0
567,2778,0
1,2232,0
2516,2998,0
137,2801,0
1807,2915,0
1277,1522,0
315,718,0
